Ma sinh vien,Ho ten,Nam sinh,Diem trung tuyen,Diem TB
29032471,Hoang Nhu,2002,25.0,8.9
99554175,Vu Hoan,2003,27.2,8.8
71956736,Dang Hoan,2002,28.6,9.4
68776457,Dang Hoan,2002,29.2,8.0
32011178,Tran Van,2002,28.8,7.6
29704195,Le Minh,2003,27.6,9.0
76175319,Pham Tuan,2002,28.2,8.5
23637588,Le Nhu,2003,28.7,9.2
90616661,Huynh Thi,2002,27.0,7.6
46465106,Dang Thanh,2002,25.2,8.4
44115142,Pham Tuan,2003,27.3,8.7
54159909,Pham Tuan,2002,29.5,8.0
42107930,Tran Thanh,2002,26.6,8.2
26103560,Bui Nhu,2002,27.0,8.6
12084962,Vu Nhu,2003,29.2,8.7
86730283,Le Tuan,2003,29.7,9.1
28450141,Hoang Duc,2003,27.1,8.8
18429702,Nguyen Hai,2003,29.3,7.7
2975277,Tran Van,2002,29.8,9.7
1942395,Tran Thi,2002,26.5,8.0
54352925,Huynh Hoan,2003,25.2,9.7
62394907,Pham Hoan,2002,25.8,8.9
75546378,Tran Nhu,2002,26.9,7.9
44539479,Bui Huong,2002,29.1,7.8
1352056,Do Duc,2002,26.6,9.7
67950769,Huynh Hoan,2003,27.7,8.1
87537368,Do Tuan,2003,28.7,8.9
68889034,Dang Van,2002,26.1,9.9
29291252,Dang Minh,2003,26.1,8.7
36556297,Hoang Van,2003,27.5,8.5
84001353,Huynh Van,2003,27.6,9.0
95118998,Bui Nhu,2003,29.6,8.5
52231545,Dang Hai,2003,26.8,9.4
78277697,Dang Thanh,2003,27.9,8.3
63628963,Dang Tuan,2002,26.2,8.7
23779963,Nguyen Huong,2002,29.6,9.9
25569784,Tran Duc,2003,28.6,9.1
1133073,Nguyen Nhu,2003,28.3,8.3
18429702,Nguyen Hai,2003,29.3,7.7
2975277,Tran Van,2002,29.8,9.7
1942395,Tran Thi,2002,26.5,8.0
54352925,Huynh Hoan,2003,25.2,9.7
62394907,Pham Hoan,2002,25.8,8.9
75546378,Tran Nhu,2002,26.9,7.9
44539479,Bui Huong,2002,29.1,7.8
1352056,Do Duc,2002,26.6,9.7
67950769,Huynh Hoan,2003,27.7,8.1
87537368,Do Tuan,2003,28.7,8.9
68889034,Dang Van,2002,26.1,9.9
29291252,Dang Minh,2003,26.1,8.7
36556297,Hoang Van,2003,27.5,8.5
84001353,Huynh Van,2003,27.6,9.0
95118998,Bui Nhu,2003,29.6,8.5
52231545,Dang Hai,2003,26.8,9.4
78277697,Dang Thanh,2003,27.9,8.3
63628963,Dang Tuan,2002,26.2,8.7
23779963,Nguyen Huong,2002,29.6,9.9
25569784,Tran Duc,2003,28.6,9.1
1133073,Nguyen Nhu,2003,28.3,8.3
99511594,Pham Thanh,2002,26.5,7.5
76290732,Tran Hoan,2003,26.1,7.7
52083153,Huynh Duc,2003,29.2,9.5
61128020,Dang Hoan,2002,28.4,8.0
14696693,Dang Van,2003,26.9,7.9
71583790,Pham Tuan,2002,29.8,9.6
20662912,Hoang Hoan,2003,25.0,7.6
75823167,Pham Duc,2003,27.5,8.0
86737648,Huynh Huong,2003,28.9,8.4
59799944,Tran Huong,2002,27.6,9.8
78932060,Huynh Nhu,2003,28.8,9.9
98588851,Pham Hai,2002,26.3,9.2
86196906,Do Van,2003,26.0,9.5
74727854,Hoang Huong,2002,27.2,9.7
92158897,Nguyen Hai,2003,25.2,8.8
80517076,Dang Van,2002,26.5,7.8
77314411,Huynh Thi,2003,26.7,10.0
7668391,Vu Nhu,2003,28.7,8.3
38685289,Bui Nhu,2002,27.3,9.3
47481424,Vu Hai,2002,29.2,8.9
44261746,Bui Van,2003,27.6,8.8
52346709,Le Hai,2003,27.5,7.8
50303928,Dang Thi,2002,26.9,9.2
57480225,Pham Hoan,2003,27.4,7.5
99511594,Pham Thanh,2002,26.5,7.5
76290732,Tran Hoan,2003,26.1,7.7
52083153,Huynh Duc,2003,29.2,9.5
61128020,Dang Hoan,2002,28.4,8.0
14696693,Dang Van,2003,26.9,7.9
71583790,Pham Tuan,2002,29.8,9.6
20662912,Hoang Hoan,2003,25.0,7.6
75823167,Pham Duc,2003,27.5,8.0
86737648,Huynh Huong,2003,28.9,8.4
59799944,Tran Huong,2002,27.6,9.8
78932060,Huynh Nhu,2003,28.8,9.9
98588851,Pham Hai,2002,26.3,9.2
86196906,Do Van,2003,26.0,9.5
74727854,Hoang Huong,2002,27.2,9.7
92158897,Nguyen Hai,2003,25.2,8.8
80517076,Dang Van,2002,26.5,7.8
77314411,Huynh Thi,2003,26.7,10.0
7668391,Vu Nhu,2003,28.7,8.3
38685289,Bui Nhu,2002,27.3,9.3
47481424,Vu Hai,2002,29.2,8.9
44261746,Bui Van,2003,27.6,8.8
52346709,Le Hai,2003,27.5,7.8
50303928,Dang Thi,2002,26.9,9.2
57480225,Pham Hoan,2003,27.4,7.5
58098722,Pham Huong,2003,27.0,7.6
27420048,Pham Hai,2002,26.1,8.9
24119135,Do Minh,2002,27.0,8.2
55992962,Pham Nhu,2003,26.1,7.9
5937968,Vu Minh,2003,26.4,8.8
79009417,Huynh Hoan,2003,28.4,9.7
70941069,Bui Hai,2002,26.3,8.7
6827481,Dang Minh,2003,29.2,8.6
20440149,Le Hai,2002,26.9,9.7
4597505,Le Huong,2003,25.0,9.2
83508370,Vu Van,2003,26.9,9.4
47323033,Le Hai,2002,26.6,9.2
41526399,Vu Huong,2002,28.3,8.5
42433323,Hoang Hoan,2002,27.8,8.2
62717066,Tran Duc,2003,26.0,8.0
46428695,Do Van,2002,29.3,8.2
82012151,Nguyen Tuan,2003,26.6,7.6
42218718,Do Thi,2003,27.1,8.2
33089432,Huynh Duc,2002,27.1,9.1
65836157,Hoang Minh,2003,28.3,8.3
12365534,Dang Nhu,2003,29.1,8.5
56546887,Huynh Huong,2002,26.1,9.7
39362635,Do Nhu,2002,27.1,7.7
51157227,Tran Van,2003,26.0,8.9
57816561,Vu Tuan,2002,29.6,8.7
93350022,Hoang Minh,2002,25.4,8.5
97925137,Bui Minh,2003,25.0,9.8
20951093,Pham Hoan,2003,28.3,8.3
58098722,Pham Huong,2003,27.0,7.6
27420048,Pham Hai,2002,26.1,8.9
24119135,Do Minh,2002,27.0,8.2
55992962,Pham Nhu,2003,26.1,7.9
5937968,Vu Minh,2003,26.4,8.8
79009417,Huynh Hoan,2003,28.4,9.7
70941069,Bui Hai,2002,26.3,8.7
6827481,Dang Minh,2003,29.2,8.6
20440149,Le Hai,2002,26.9,9.7
4597505,Le Huong,2003,25.0,9.2
83508370,Vu Van,2003,26.9,9.4
47323033,Le Hai,2002,26.6,9.2
41526399,Vu Huong,2002,28.3,8.5
42433323,Hoang Hoan,2002,27.8,8.2
62717066,Tran Duc,2003,26.0,8.0
46428695,Do Van,2002,29.3,8.2
82012151,Nguyen Tuan,2003,26.6,7.6
42218718,Do Thi,2003,27.1,8.2
33089432,Huynh Duc,2002,27.1,9.1
65836157,Hoang Minh,2003,28.3,8.3
12365534,Dang Nhu,2003,29.1,8.5
56546887,Huynh Huong,2002,26.1,9.7
39362635,Do Nhu,2002,27.1,7.7
51157227,Tran Van,2003,26.0,8.9
57816561,Vu Tuan,2002,29.6,8.7
93350022,Hoang Minh,2002,25.4,8.5
97925137,Bui Minh,2003,25.0,9.8
20951093,Pham Hoan,2003,28.3,8.3
63298402,Pham Nhu,2003,25.9,7.8
1478614,Tran Hai,2002,25.2,9.8
6908071,Le Thanh,2002,29.8,7.5
86802867,Pham Tuan,2003,26.4,7.6
13431249,Dang Thi,2003,27.7,8.0
92892059,Do Van,2003,26.8,7.6
8024576,Nguyen Duc,2002,27.0,9.9
19903189,Hoang Thanh,2002,27.4,9.6
80662884,Tran Nhu,2002,29.9,9.4
95357186,Dang Nhu,2002,28.9,8.8
43509386,Bui Hoan,2002,29.3,9.3
42596492,Tran Hai,2002,29.7,8.4
88431908,Vu Minh,2002,25.3,7.6
65539969,Hoang Hoan,2002,29.8,7.9
77265811,Dang Tuan,2002,28.3,9.4
37256827,Pham Thi,2003,26.9,8.6
91621191,Le Hoan,2002,25.7,8.6
28681515,Hoang Huong,2002,25.7,8.1
37869353,Do Huong,2003,27.0,7.8
97659145,Nguyen Huong,2002,28.0,9.4
77898136,Dang Hoan,2003,28.5,8.5
60699259,Le Thi,2003,25.4,8.8
88503493,Nguyen Hoan,2002,27.6,9.6
39602413,Tran Thanh,2002,30.0,8.3
57279402,Hoang Van,2003,25.0,9.7
75801380,Tran Thi,2002,25.7,8.2
16287332,Dang Van,2003,25.9,8.0
63298402,Pham Nhu,2003,25.9,7.8
1478614,Tran Hai,2002,25.2,9.8
6908071,Le Thanh,2002,29.8,7.5
86802867,Pham Tuan,2003,26.4,7.6
13431249,Dang Thi,2003,27.7,8.0
92892059,Do Van,2003,26.8,7.6
8024576,Nguyen Duc,2002,27.0,9.9
19903189,Hoang Thanh,2002,27.4,9.6
80662884,Tran Nhu,2002,29.9,9.4
95357186,Dang Nhu,2002,28.9,8.8
43509386,Bui Hoan,2002,29.3,9.3
42596492,Tran Hai,2002,29.7,8.4
88431908,Vu Minh,2002,25.3,7.6
65539969,Hoang Hoan,2002,29.8,7.9
77265811,Dang Tuan,2002,28.3,9.4
37256827,Pham Thi,2003,26.9,8.6
91621191,Le Hoan,2002,25.7,8.6
28681515,Hoang Huong,2002,25.7,8.1
37869353,Do Huong,2003,27.0,7.8
97659145,Nguyen Huong,2002,28.0,9.4
77898136,Dang Hoan,2003,28.5,8.5
60699259,Le Thi,2003,25.4,8.8
88503493,Nguyen Hoan,2002,27.6,9.6
39602413,Tran Thanh,2002,30.0,8.3
57279402,Hoang Van,2003,25.0,9.7
75801380,Tran Thi,2002,25.7,8.2
16287332,Dang Van,2003,25.9,8.0
61042658,Huynh Van,2002,26.3,7.8
53810197,Do Minh,2003,25.1,8.8
47959340,Dang Thanh,2003,27.6,9.5
38264339,Dang Hoan,2003,27.9,9.6
35754391,Nguyen Thi,2003,29.1,7.6
77415996,Dang Van,2003,25.7,9.3
73336404,Tran Huong,2003,28.4,8.4
49938545,Dang Thanh,2002,26.1,7.6
65636378,Nguyen Hoan,2002,29.7,9.8
67343222,Dang Hoan,2003,28.1,8.2
89559757,Le Thi,2003,26.0,8.9
15538005,Huynh Minh,2002,27.7,8.4
40675491,Hoang Hoan,2003,27.8,9.7
21817178,Vu Hoan,2002,26.3,9.2
49877158,Do Van,2002,26.6,9.3
61042658,Huynh Van,2002,26.3,7.8
53810197,Do Minh,2003,25.1,8.8
47959340,Dang Thanh,2003,27.6,9.5
38264339,Dang Hoan,2003,27.9,9.6
35754391,Nguyen Thi,2003,29.1,7.6
77415996,Dang Van,2003,25.7,9.3
73336404,Tran Huong,2003,28.4,8.4
49938545,Dang Thanh,2002,26.1,7.6
65636378,Nguyen Hoan,2002,29.7,9.8
67343222,Dang Hoan,2003,28.1,8.2
89559757,Le Thi,2003,26.0,8.9
15538005,Huynh Minh,2002,27.7,8.4
40675491,Hoang Hoan,2003,27.8,9.7
21817178,Vu Hoan,2002,26.3,9.2
49877158,Do Van,2002,26.6,9.3
88885845,Do Hai,2002,26.5,7.6
21939555,Vu Hoan,2002,26.4,9.6
52740504,Hoang Thi,2002,26.6,8.3
17511042,Do Duc,2002,29.3,9.5
42094355,Dang Nhu,2003,29.1,7.9
76460719,Tran Minh,2002,28.4,9.2
13664014,Pham Thanh,2003,25.2,8.0
9141282,Nguyen Huong,2003,26.6,9.3
83988325,Hoang Minh,2002,25.4,7.8
84798244,Hoang Hai,2003,26.7,8.4
81918532,Le Duc,2003,26.6,9.7
66104143,Tran Duc,2003,29.1,8.7
63721197,Pham Duc,2003,28.9,9.1
29081676,Vu Huong,2002,27.1,9.9
33401244,Do Huong,2003,25.7,8.9
61107230,Le Van,2002,28.7,7.8
82315109,Dang Nhu,2003,26.0,9.3
65090861,Bui Thanh,2003,25.2,8.8
4349523,Le Thanh,2002,26.5,9.1
4299528,Vu Hoan,2002,29.8,9.7
49465011,Bui Minh,2002,27.7,8.0
92146514,Vu Tuan,2002,25.3,8.0
17804993,Vu Minh,2003,25.6,8.0
67878742,Dang Thi,2002,27.9,8.5
43148230,Bui Duc,2002,26.8,8.6
54441130,Hoang Thanh,2003,26.7,8.4
57056640,Nguyen Hoan,2003,29.7,8.0
89749142,Dang Duc,2003,25.4,9.6
29196242,Le Van,2003,28.8,9.0
88885845,Do Hai,2002,26.5,7.6
21939555,Vu Hoan,2002,26.4,9.6
52740504,Hoang Thi,2002,26.6,8.3
17511042,Do Duc,2002,29.3,9.5
42094355,Dang Nhu,2003,29.1,7.9
76460719,Tran Minh,2002,28.4,9.2
13664014,Pham Thanh,2003,25.2,8.0
9141282,Nguyen Huong,2003,26.6,9.3
83988325,Hoang Minh,2002,25.4,7.8
84798244,Hoang Hai,2003,26.7,8.4
81918532,Le Duc,2003,26.6,9.7
66104143,Tran Duc,2003,29.1,8.7
63721197,Pham Duc,2003,28.9,9.1
29081676,Vu Huong,2002,27.1,9.9
33401244,Do Huong,2003,25.7,8.9
61107230,Le Van,2002,28.7,7.8
82315109,Dang Nhu,2003,26.0,9.3
65090861,Bui Thanh,2003,25.2,8.8
4349523,Le Thanh,2002,26.5,9.1
4299528,Vu Hoan,2002,29.8,9.7
49465011,Bui Minh,2002,27.7,8.0
92146514,Vu Tuan,2002,25.3,8.0
17804993,Vu Minh,2003,25.6,8.0
67878742,Dang Thi,2002,27.9,8.5
43148230,Bui Duc,2002,26.8,8.6
54441130,Hoang Thanh,2003,26.7,8.4
57056640,Nguyen Hoan,2003,29.7,8.0
89749142,Dang Duc,2003,25.4,9.6
29196242,Le Van,2003,28.8,9.0
51056843,Vu Huong,2003,29.2,9.5
55793384,Hoang Huong,2003,25.2,8.9
72117523,Bui Thanh,2002,26.8,9.0
37834981,Pham Thi,2002,26.3,10.0
5262268,Le Thanh,2002,25.9,9.6
22136352,Nguyen Huong,2002,29.6,8.8
44501130,Pham Thanh,2003,29.7,9.6
65384813,Huynh Thanh,2003,25.9,8.6
92817841,Le Nhu,2002,27.7,8.5
22443137,Do Duc,2002,27.8,9.8
87685369,Vu Minh,2003,29.5,8.6
95191633,Bui Huong,2002,29.2,9.0
78583294,Dang Duc,2002,29.0,9.3
18036364,Dang Huong,2003,26.2,9.4
75850582,Dang Thanh,2002,26.1,9.5
5807587,Nguyen Hoan,2002,26.7,8.0
16563327,Hoang Huong,2003,25.9,8.6
57644990,Vu Hai,2002,29.1,7.8
13299425,Dang Nhu,2003,26.8,9.2
42623507,Hoang Minh,2002,26.9,8.9
62341535,Hoang Hai,2002,25.8,8.5
15206050,Vu Tuan,2002,28.5,9.1
43840201,Huynh Duc,2002,27.4,9.8
81235218,Pham Hoan,2002,26.7,9.4
4156757,Tran Thi,2002,26.5,8.5
51844774,Tran Thanh,2002,27.8,7.6
11972791,Hoang Thanh,2003,28.6,8.3
16362153,Hoang Minh,2003,25.5,7.6
5885589,Do Minh,2002,27.3,9.3
8292363,Bui Thi,2002,29.4,9.9
51056843,Vu Huong,2003,29.2,9.5
55793384,Hoang Huong,2003,25.2,8.9
72117523,Bui Thanh,2002,26.8,9.0
37834981,Pham Thi,2002,26.3,10.0
5262268,Le Thanh,2002,25.9,9.6
22136352,Nguyen Huong,2002,29.6,8.8
44501130,Pham Thanh,2003,29.7,9.6
65384813,Huynh Thanh,2003,25.9,8.6
92817841,Le Nhu,2002,27.7,8.5
22443137,Do Duc,2002,27.8,9.8
87685369,Vu Minh,2003,29.5,8.6
95191633,Bui Huong,2002,29.2,9.0
78583294,Dang Duc,2002,29.0,9.3
18036364,Dang Huong,2003,26.2,9.4
75850582,Dang Thanh,2002,26.1,9.5
5807587,Nguyen Hoan,2002,26.7,8.0
16563327,Hoang Huong,2003,25.9,8.6
57644990,Vu Hai,2002,29.1,7.8
13299425,Dang Nhu,2003,26.8,9.2
42623507,Hoang Minh,2002,26.9,8.9
62341535,Hoang Hai,2002,25.8,8.5
15206050,Vu Tuan,2002,28.5,9.1
43840201,Huynh Duc,2002,27.4,9.8
81235218,Pham Hoan,2002,26.7,9.4
4156757,Tran Thi,2002,26.5,8.5
51844774,Tran Thanh,2002,27.8,7.6
11972791,Hoang Thanh,2003,28.6,8.3
16362153,Hoang Minh,2003,25.5,7.6
5885589,Do Minh,2002,27.3,9.3
8292363,Bui Thi,2002,29.4,9.9
53146436,Nguyen Thi,2002,25.3,9.5
41817370,Bui Minh,2002,28.8,8.0
19539598,Le Duc,2002,26.9,9.6
67224630,Bui Tuan,2003,25.2,9.0
82975841,Huynh Thanh,2002,29.8,9.5
83445595,Dang Tuan,2003,26.2,9.8
21298825,Le Hai,2002,25.2,9.7
18196150,Do Tuan,2003,29.5,8.1
18622923,Vu Thi,2002,28.5,8.9
25652021,Dang Hai,2002,27.9,7.7
87937335,Vu Hai,2003,29.0,9.5
38029341,Do Van,2002,28.7,9.0
1766997,Huynh Thanh,2002,28.1,8.2
89951,Nguyen Hai,2003,27.9,8.5
70682891,Pham Tuan,2002,25.8,8.3
66488883,Huynh Minh,2002,26.7,9.6
50057541,Huynh Thi,2003,28.0,8.7
2713320,Le Duc,2002,27.7,9.8
43428005,Pham Nhu,2003,25.3,9.4
1559207,Vu Minh,2003,27.7,8.6
55320845,Huynh Huong,2002,26.7,8.8
53146436,Nguyen Thi,2002,25.3,9.5
41817370,Bui Minh,2002,28.8,8.0
19539598,Le Duc,2002,26.9,9.6
67224630,Bui Tuan,2003,25.2,9.0
82975841,Huynh Thanh,2002,29.8,9.5
83445595,Dang Tuan,2003,26.2,9.8
21298825,Le Hai,2002,25.2,9.7
18196150,Do Tuan,2003,29.5,8.1
18622923,Vu Thi,2002,28.5,8.9
25652021,Dang Hai,2002,27.9,7.7
87937335,Vu Hai,2003,29.0,9.5
38029341,Do Van,2002,28.7,9.0
1766997,Huynh Thanh,2002,28.1,8.2
89951,Nguyen Hai,2003,27.9,8.5
70682891,Pham Tuan,2002,25.8,8.3
66488883,Huynh Minh,2002,26.7,9.6
50057541,Huynh Thi,2003,28.0,8.7
2713320,Le Duc,2002,27.7,9.8
43428005,Pham Nhu,2003,25.3,9.4
1559207,Vu Minh,2003,27.7,8.6
55320845,Huynh Huong,2002,26.7,8.8
22570937,Nguyen Duc,2003,28.8,9.8
43977553,Le Minh,2003,27.5,8.0
84460519,Vu Hoan,2003,29.4,9.2
7638202,Hoang Nhu,2002,26.4,9.2
91878335,Vu Duc,2002,29.6,8.0
43877165,Vu Nhu,2003,29.0,8.3
36071975,Pham Huong,2002,29.0,9.1
78050563,Le Huong,2002,26.9,8.8
64547685,Pham Tuan,2002,26.1,9.1
23012684,Pham Nhu,2003,28.1,7.9
58774879,Pham Thi,2002,28.0,9.4
24665305,Hoang Thi,2003,28.5,9.7
87974745,Do Van,2003,26.0,8.0
95910966,Huynh Thanh,2002,29.8,7.7
61714386,Le Duc,2002,27.5,8.7
53252048,Nguyen Tuan,2002,27.3,8.1
43508794,Nguyen Minh,2003,29.5,9.3
38230366,Do Thanh,2002,29.9,9.8
85214424,Tran Van,2003,29.7,7.9
29267034,Hoang Duc,2002,29.2,9.9
10602731,Bui Duc,2002,27.6,7.5
47871790,Do Van,2003,25.2,8.1
56629671,Le Hai,2003,28.7,8.7
75677766,Le Hoan,2002,29.6,9.3
31033275,Le Huong,2002,26.5,8.7
8402553,Vu Huong,2003,26.5,8.7
30619088,Tran Hoan,2002,25.6,8.3
20747090,Do Huong,2003,25.3,8.9
22570937,Nguyen Duc,2003,28.8,9.8
43977553,Le Minh,2003,27.5,8.0
84460519,Vu Hoan,2003,29.4,9.2
7638202,Hoang Nhu,2002,26.4,9.2
91878335,Vu Duc,2002,29.6,8.0
43877165,Vu Nhu,2003,29.0,8.3
36071975,Pham Huong,2002,29.0,9.1
78050563,Le Huong,2002,26.9,8.8
64547685,Pham Tuan,2002,26.1,9.1
23012684,Pham Nhu,2003,28.1,7.9
58774879,Pham Thi,2002,28.0,9.4
24665305,Hoang Thi,2003,28.5,9.7
87974745,Do Van,2003,26.0,8.0
95910966,Huynh Thanh,2002,29.8,7.7
61714386,Le Duc,2002,27.5,8.7
53252048,Nguyen Tuan,2002,27.3,8.1
43508794,Nguyen Minh,2003,29.5,9.3
38230366,Do Thanh,2002,29.9,9.8
85214424,Tran Van,2003,29.7,7.9
29267034,Hoang Duc,2002,29.2,9.9
10602731,Bui Duc,2002,27.6,7.5
47871790,Do Van,2003,25.2,8.1
56629671,Le Hai,2003,28.7,8.7
75677766,Le Hoan,2002,29.6,9.3
31033275,Le Huong,2002,26.5,8.7
8402553,Vu Huong,2003,26.5,8.7
30619088,Tran Hoan,2002,25.6,8.3
20747090,Do Huong,2003,25.3,8.9
37152465,Bui Thanh,2003,26.7,8.4
19341261,Bui Huong,2002,26.9,7.8
21409811,Do Van,2003,29.3,9.8
49601021,Bui Van,2003,30.0,8.0
54270355,Pham Van,2003,26.9,9.2
14341363,Pham Huong,2002,25.9,8.0
84873066,Huynh Van,2002,28.1,8.5
58348505,Pham Hai,2003,28.7,9.8
81209005,Vu Hai,2003,28.7,8.2
99151240,Hoang Van,2003,25.9,8.5
65277414,Nguyen Thi,2002,25.7,8.4
44420544,Bui Hoan,2002,28.0,7.6
41603214,Bui Duc,2003,29.9,9.2
42298717,Hoang Thanh,2002,27.6,7.8
67673194,Nguyen Hoan,2003,27.6,9.2
8140192,Tran Minh,2003,26.6,9.6
24639886,Tran Nhu,2003,28.2,8.4
95025633,Dang Van,2002,27.3,8.3
84283722,Dang Tuan,2002,26.4,9.5
37152465,Bui Thanh,2003,26.7,8.4
19341261,Bui Huong,2002,26.9,7.8
21409811,Do Van,2003,29.3,9.8
49601021,Bui Van,2003,30.0,8.0
54270355,Pham Van,2003,26.9,9.2
14341363,Pham Huong,2002,25.9,8.0
84873066,Huynh Van,2002,28.1,8.5
58348505,Pham Hai,2003,28.7,9.8
81209005,Vu Hai,2003,28.7,8.2
99151240,Hoang Van,2003,25.9,8.5
65277414,Nguyen Thi,2002,25.7,8.4
44420544,Bui Hoan,2002,28.0,7.6
41603214,Bui Duc,2003,29.9,9.2
42298717,Hoang Thanh,2002,27.6,7.8
67673194,Nguyen Hoan,2003,27.6,9.2
8140192,Tran Minh,2003,26.6,9.6
24639886,Tran Nhu,2003,28.2,8.4
95025633,Dang Van,2002,27.3,8.3
84283722,Dang Tuan,2002,26.4,9.5
32238530,Dang Thi,2003,26.1,9.5
66022166,Huynh Nhu,2002,25.5,8.8
55860197,Tran Tuan,2002,29.0,7.7
70807459,Tran Minh,2002,26.0,9.2
86532901,Le Hai,2002,26.9,7.9
87915549,Bui Thi,2003,29.2,9.6
90058121,Le Hoan,2003,25.2,9.4
12796693,Hoang Minh,2003,29.0,8.3
81465597,Huynh Van,2003,26.2,8.5
54285330,Do Nhu,2003,25.3,8.0
27715002,Pham Thi,2002,29.7,9.8
76025942,Tran Thi,2003,25.7,9.6
69569374,Nguyen Minh,2003,27.8,7.7
16322758,Le Minh,2002,25.6,7.9
94420719,Vu Minh,2002,29.8,9.6
98769041,Huynh Minh,2002,25.9,9.7
31291062,Dang Tuan,2002,26.0,10.0
96940069,Bui Duc,2003,27.0,8.8
33380455,Pham Nhu,2002,28.9,9.1
40668483,Huynh Van,2002,29.4,9.4
32550339,Le Huong,2003,27.6,8.7
46561724,Le Thi,2003,25.9,8.3
37062674,Le Nhu,2003,28.2,8.4
87756361,Le Huong,2002,29.1,9.3
32238530,Dang Thi,2003,26.1,9.5
66022166,Huynh Nhu,2002,25.5,8.8
55860197,Tran Tuan,2002,29.0,7.7
70807459,Tran Minh,2002,26.0,9.2
86532901,Le Hai,2002,26.9,7.9
87915549,Bui Thi,2003,29.2,9.6
90058121,Le Hoan,2003,25.2,9.4
12796693,Hoang Minh,2003,29.0,8.3
81465597,Huynh Van,2003,26.2,8.5
54285330,Do Nhu,2003,25.3,8.0
27715002,Pham Thi,2002,29.7,9.8
76025942,Tran Thi,2003,25.7,9.6
69569374,Nguyen Minh,2003,27.8,7.7
16322758,Le Minh,2002,25.6,7.9
94420719,Vu Minh,2002,29.8,9.6
98769041,Huynh Minh,2002,25.9,9.7
31291062,Dang Tuan,2002,26.0,10.0
